task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
12	48/1edab9	3634	trim (BBduk on 47-G1314_S47)	COMPLETED	0	2019-12-09 02:14:17.098	5m 7s	5m 3s	115.3%	401.3 MB	4.5 GB	1.4 GB	1.4 GB
13	09/70d66b	3731	trim (BBduk on 48-G1315_S48)	COMPLETED	0	2019-12-09 02:14:19.516	5m 25s	5m 20s	116.1%	399.8 MB	4.5 GB	1.4 GB	1.5 GB
14	3f/da7a5a	3779	trim (BBduk on 49-G1316_S49)	COMPLETED	0	2019-12-09 02:14:19.811	5m 25s	5m 20s	115.8%	407.4 MB	4.5 GB	1.5 GB	1.5 GB
10	21/fa79e1	3683	trim (BBduk on 45-G1308_S45)	COMPLETED	0	2019-12-09 02:14:19.344	5m 34s	5m 30s	123.0%	407 MB	4.5 GB	1.4 GB	1.5 GB
4	f0/1188b8	3639	fastqc (FASTQC on 47-G1314_S47)	COMPLETED	0	2019-12-09 02:14:17.118	9m 6s	9m 2s	78.2%	305.1 MB	2.7 GB	1.4 GB	4 MB
6	70/32f623	3684	fastqc (FASTQC on 45-G1308_S45)	COMPLETED	0	2019-12-09 02:14:19.353	9m 30s	9m 26s	77.4%	285.8 MB	2.7 GB	1.4 GB	4 MB
1	64/67c128	3732	fastqc (FASTQC on 48-G1315_S48)	COMPLETED	0	2019-12-09 02:14:19.523	9m 32s	9m 27s	77.8%	297.2 MB	2.7 GB	1.5 GB	4 MB
7	de/fc6e35	3777	fastqc (FASTQC on 49-G1316_S49)	COMPLETED	0	2019-12-09 02:14:19.798	9m 40s	9m 35s	77.9%	294.7 MB	2.7 GB	1.5 GB	4 MB
11	6d/87ac4c	3924	trim (BBduk on 46-G1309_S46)	COMPLETED	0	2019-12-09 02:19:44.734	5m 7s	5m 3s	122.2%	392 MB	4.5 GB	1.5 GB	1.6 GB
9	ca/41c20e	3950	trim (BBduk on 44-G1307F_S44)	COMPLETED	0	2019-12-09 02:19:44.891	5m 18s	5m 15s	122.2%	410.2 MB	4.5 GB	1.5 GB	1.6 GB
8	2b/0944ee	3975	trim (BBduk on 43-G1307M_S43)	COMPLETED	0	2019-12-09 02:19:53.217	5m 18s	5m 13s	124.0%	384.9 MB	4.5 GB	1.6 GB	1.7 GB
3	1b/6cf8e4	3872	fastqc (FASTQC on 46-G1309_S46)	COMPLETED	0	2019-12-09 02:19:23.673	7m 59s	7m 55s	81.2%	291.6 MB	2.8 GB	1.5 GB	4 MB
2	42/7826d7	3873	fastqc (FASTQC on 44-G1307F_S44)	COMPLETED	0	2019-12-09 02:19:23.685	8m 18s	8m 14s	81.3%	306.1 MB	2.7 GB	1.6 GB	4 MB
5	c5/46f956	4016	fastqc (FASTQC on 43-G1307M_S43)	COMPLETED	0	2019-12-09 02:23:22.906	6m 45s	6m 41s	86.6%	293.6 MB	2.7 GB	1.6 GB	4 MB
15	21/2e2bef	4059	align_bwa (bwa on 47-G1314_S47)	COMPLETED	0	2019-12-09 02:24:51.681	32m 5s	31m 27s	250.1%	5.7 GB	5.9 GB	6.5 GB	7.6 GB
16	d4/50410d	4103	align_bwa (bwa on 48-G1315_S48)	COMPLETED	0	2019-12-09 02:27:22.324	33m 4s	32m 23s	241.9%	5.6 GB	5.8 GB	6.5 GB	8 GB
17	06/17d0ce	4415	align_bwa (bwa on 49-G1316_S49)	COMPLETED	0	2019-12-09 02:56:56.451	38m 46s	38m 4s	248.9%	5.7 GB	5.9 GB	6.6 GB	8.2 GB
18	f1/98d5a0	4650	align_bwa (bwa on 45-G1308_S45)	COMPLETED	0	2019-12-09 03:00:26.128	37m 28s	36m 45s	240.7%	5.6 GB	5.8 GB	6.5 GB	8 GB
22	8c/39c03a	4652	picard_SortSam (picard SortSam on 47-G1314_S47)	COMPLETED	0	2019-12-09 03:00:26.139	37m 56s	37m 53s	52.4%	1.3 GB	6.5 GB	9.8 GB	3.4 GB
19	67/60cd2d	4862	align_bwa (bwa on 46-G1309_S46)	COMPLETED	0	2019-12-09 03:35:42.045	39m 21s	38m 40s	248.0%	5.6 GB	5.8 GB	6.6 GB	8.3 GB
23	b4/d24a4a	4863	picard_SortSam (picard SortSam on 48-G1315_S48)	COMPLETED	0	2019-12-09 03:35:42.053	40m 17s	40m 14s	50.8%	1.3 GB	6.7 GB	10.4 GB	3.5 GB
20	c8/6294b3	5111	align_bwa (bwa on 44-G1307F_S44)	COMPLETED	0	2019-12-09 03:37:54.294	40m 34s	39m 50s	241.6%	5.6 GB	5.9 GB	6.7 GB	8.7 GB
26	71/b17f0d	12929	picard_MarkDuplicates (picard MarkDuplicates on 47-G1314_S47)	COMPLETED	0	2019-12-09 04:18:28.077	13m 40s	13m 37s	123.2%	2.1 GB	6.7 GB	4.2 GB	2 GB
28	9b/525a05	12930	picard_MarkDuplicates (picard MarkDuplicates on 48-G1315_S48)	COMPLETED	0	2019-12-09 04:18:28.084	14m 9s	14m 6s	125.5%	2.1 GB	6.7 GB	4.4 GB	2.1 GB
